id_animal,data_obito,motivo_obito,morreu_fora_do_abrigo,eutanasiado,morto_ao_chegar
47760,None,Falecimento sob Cuidados,0,0,0
47762,None,Falecimento sob Cuidados,0,0,0
47763,None,Falecimento sob Cuidados,0,0,0
47764,None,Falecimento sob Cuidados,0,0,0
47765,None,Falecimento sob Cuidados,0,0,0
47766,None,Falecimento sob Cuidados,0,0,0
47766,None,Falecimento sob Cuidados,0,0,0
47767,None,Falecimento sob Cuidados,0,0,0
47768,None,Falecimento sob Cuidados,0,0,0
47769,None,Falecimento sob Cuidados,0,0,0
47770,None,Falecimento sob Cuidados,0,0,0
47770,None,Falecimento sob Cuidados,0,0,0
47771,None,Falecimento sob Cuidados,0,0,0
47771,None,Falecimento sob Cuidados,0,0,0
55297,None,Falecimento sob Cuidados,0,0,0
55297,None,Falecimento sob Cuidados,0,0,0
55297,None,Falecimento sob Cuidados,0,0,0
55298,None,Falecimento sob Cuidados,0,0,0
55299,None,Falecimento sob Cuidados,0,0,0
55299,None,Falecimento sob Cuidados,0,0,0
55299,None,Falecimento sob Cuidados,0,0,0
55300,None,Falecimento sob Cuidados,0,0,0
55301,None,Falecimento sob Cuidados,0,0,0
55301,None,Falecimento sob Cuidados,0,0,0
55301,None,Falecimento sob Cuidados,0,0,0
55302,None,Falecimento sob Cuidados,0,0,0
55302,None,Falecimento sob Cuidados,0,0,0
55302,None,Falecimento sob Cuidados,0,0,0
55302,None,Falecimento sob Cuidados,0,0,0
55303,None,Falecimento sob Cuidados,0,0,0
55303,None,Falecimento sob Cuidados,0,0,0
55304,None,Falecimento sob Cuidados,0,0,0
55304,None,Falecimento sob Cuidados,0,0,0
55304,None,Falecimento sob Cuidados,0,0,0
55304,None,Falecimento sob Cuidados,0,0,0
55305,None,Falecimento sob Cuidados,0,0,0
55305,None,Falecimento sob Cuidados,0,0,0
55305,None,Falecimento sob Cuidados,0,0,0
55305,None,Falecimento sob Cuidados,0,0,0
55307,None,Falecimento sob Cuidados,0,0,0
55307,None,Falecimento sob Cuidados,0,0,0
55307,None,Falecimento sob Cuidados,0,0,0
55307,None,Falecimento sob Cuidados,0,0,0
55308,None,Falecimento sob Cuidados,0,0,0
55309,None,Falecimento sob Cuidados,0,0,0
55310,None,Falecimento sob Cuidados,0,0,0
55311,None,Falecimento sob Cuidados,0,0,0
55312,None,Falecimento sob Cuidados,0,0,0
55313,None,Falecimento sob Cuidados,0,0,0
55314,None,Falecimento sob Cuidados,0,0,0
55315,None,Falecimento sob Cuidados,0,0,0
55316,None,Falecimento sob Cuidados,0,0,0
55317,None,Falecimento sob Cuidados,0,0,0
55318,None,Falecimento sob Cuidados,0,0,0
55319,None,Falecimento sob Cuidados,0,0,0
55320,None,Falecimento sob Cuidados,0,0,0
55321,None,Falecimento sob Cuidados,0,0,0
55322,None,Falecimento sob Cuidados,0,0,0
55322,None,Falecimento sob Cuidados,0,0,0
55323,None,Falecimento sob Cuidados,0,0,0
55324,None,Falecimento sob Cuidados,0,0,0
55325,None,Falecimento sob Cuidados,0,0,0
55326,None,Falecimento sob Cuidados,0,0,0
55327,None,Falecimento sob Cuidados,0,0,0
55328,None,Falecimento sob Cuidados,0,0,0
55329,None,Falecimento sob Cuidados,0,0,0
55330,None,Falecimento sob Cuidados,0,0,0
55331,None,Falecimento sob Cuidados,0,0,0
55332,None,Falecimento sob Cuidados,0,0,0
55333,None,Falecimento sob Cuidados,0,0,0
55334,None,Falecimento sob Cuidados,0,0,0
55335,None,Falecimento sob Cuidados,0,0,0
55335,None,Falecimento sob Cuidados,0,0,0
55336,None,Falecimento sob Cuidados,0,0,0
55336,None,Falecimento sob Cuidados,0,0,0
55337,None,Falecimento sob Cuidados,0,0,0
55338,None,Falecimento sob Cuidados,0,0,0
55338,None,Falecimento sob Cuidados,0,0,0
55339,None,Falecimento sob Cuidados,0,0,0
55340,None,Falecimento sob Cuidados,0,0,0
55341,None,Falecimento sob Cuidados,0,0,0
55342,None,Falecimento sob Cuidados,0,0,0
55343,None,Falecimento sob Cuidados,0,0,0
55344,None,Falecimento sob Cuidados,0,0,0
55345,None,Falecimento sob Cuidados,0,0,0
55346,None,Falecimento sob Cuidados,0,0,0
55347,None,Falecimento sob Cuidados,0,0,0
55348,None,Falecimento sob Cuidados,0,0,0
55349,None,Falecimento sob Cuidados,0,0,0
55350,None,Falecimento sob Cuidados,0,0,0
55351,None,Falecimento sob Cuidados,0,0,0
55351,None,Falecimento sob Cuidados,0,0,0
55352,None,Falecimento sob Cuidados,0,0,0
55354,None,Falecimento sob Cuidados,0,0,0
55355,None,Falecimento sob Cuidados,0,0,0
55357,None,Falecimento sob Cuidados,0,0,0
55357,None,Falecimento sob Cuidados,0,0,0
55358,None,Falecimento sob Cuidados,0,0,0
55359,None,Falecimento sob Cuidados,0,0,0
55360,None,Falecimento sob Cuidados,0,0,0
55361,None,Falecimento sob Cuidados,0,0,0
55362,None,Falecimento sob Cuidados,0,0,0
55363,None,Falecimento sob Cuidados,0,0,0
55364,None,Falecimento sob Cuidados,0,0,0
55365,None,Falecimento sob Cuidados,0,0,0
55366,None,Falecimento sob Cuidados,0,0,0
55369,None,Falecimento sob Cuidados,0,0,0
55370,None,Falecimento sob Cuidados,0,0,0
55370,None,Falecimento sob Cuidados,0,0,0
55370,None,Falecimento sob Cuidados,0,0,0
55371,2017-04-20 00:00:00,Falecimento sob Cuidados,0,0,0
55371,2017-04-20 00:00:00,Falecimento sob Cuidados,0,0,0
55372,None,Falecimento sob Cuidados,0,0,0
55373,None,Falecimento sob Cuidados,0,0,0
55375,None,Falecimento sob Cuidados,0,0,0
55376,None,Falecimento sob Cuidados,0,0,0
55376,None,Falecimento sob Cuidados,0,0,0
55376,None,Falecimento sob Cuidados,0,0,0
55377,None,Falecimento sob Cuidados,0,0,0
55377,None,Falecimento sob Cuidados,0,0,0
55378,None,Falecimento sob Cuidados,0,0,0
55378,None,Falecimento sob Cuidados,0,0,0
55379,None,Falecimento sob Cuidados,0,0,0
55379,None,Falecimento sob Cuidados,0,0,0
55380,None,Falecimento sob Cuidados,0,0,0
55380,None,Falecimento sob Cuidados,0,0,0
55381,None,Falecimento sob Cuidados,0,0,0
55382,None,Falecimento sob Cuidados,0,0,0
55382,None,Falecimento sob Cuidados,0,0,0
55383,None,Falecimento sob Cuidados,0,0,0
55383,None,Falecimento sob Cuidados,0,0,0
55384,None,Falecimento sob Cuidados,0,0,0
55384,None,Falecimento sob Cuidados,0,0,0
55385,None,Falecimento sob Cuidados,0,0,0
55385,None,Falecimento sob Cuidados,0,0,0
55386,None,Falecimento sob Cuidados,0,0,0
55386,None,Falecimento sob Cuidados,0,0,0
55389,None,Falecimento sob Cuidados,0,0,0
55391,None,Falecimento sob Cuidados,0,0,0
55394,None,Falecimento sob Cuidados,0,0,0
