id_animal,data_entrada,motivo_entrada,transferencia,codigo_abrigo,localizacao,data_movimentacao,tipo_movimentacao,adocao_teste,data_retorno,motivo_retorno
56591,2017-07-13 12:28:43,Animal Errante,0,D1707728,"Caes Errantes, Theta",2017-07-14 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56593,2017-07-13 14:09:30,Animal Errante,0,D1707729,"Caes Errantes, Theta",2017-07-17 00:00:00,Recuperado pelo Tutor,0.0,2017-07-17 00:00:00,Incompativel com Estilo de Vida do Tutor
56593,2017-07-13 14:09:30,Animal Errante,0,D1707729,"Caes Errantes, Theta",2017-07-18 00:00:00,Transferencia,0.0,None,Animal Errante
56594,2017-07-13 14:23:58,Transferencia de Outro Abrigo,0,D1707718,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56595,2017-07-13 14:23:58,Transferencia de Outro Abrigo,0,D1707719,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56597,2017-07-13 14:23:58,Transferencia de Outro Abrigo,0,D1707721,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56598,2017-07-13 14:23:58,Transferencia de Outro Abrigo,0,D1707722,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56599,2017-07-13 14:23:58,Transferencia de Outro Abrigo,0,D1707725,Cães Adotaveis,2017-07-18 00:00:00,Adocao,0.0,None,Animal Errante
56600,2017-07-13 14:34:17,Animal Errante,0,D1707730,"Caes Errantes, Beta",2017-07-18 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56601,2017-07-13 14:35:17,Animal Errante,0,D1707731,"Caes Errantes, Beta",2017-07-13 00:00:00,Recuperado pelo Tutor,0.0,None,Animal Errante
56602,2017-07-13 15:42:03,Mudança,0,D1707726,"Caes Errantes, Theta",2017-07-18 00:00:00,Lar Temporario,0.0,2017-07-22 00:00:00,Animal Errante
56602,2017-07-13 15:42:03,Mudança,0,D1707726,"Caes Errantes, Theta",2017-07-22 00:00:00,Adocao,0.0,None,Animal Errante
56603,2017-07-13 15:46:31,Tutor Falecido,0,C1707727,Abrigo,2017-07-13 00:00:00,Lar Temporario,0.0,2019-03-06 00:00:00,Animal Errante
56603,2017-07-13 15:46:31,Tutor Falecido,0,C1707727,Abrigo,2019-03-06 00:00:00,Transferencia,0.0,None,Animal Errante
56604,2017-07-13 15:46:31,Tutor Falecido,0,C1707728,Abrigo,2017-07-13 00:00:00,Lar Temporario,0.0,2018-02-04 00:00:00,Animal Errante
56604,2017-07-13 15:46:31,Tutor Falecido,0,C1707728,Abrigo,2018-02-04 00:00:00,Adocao,0.0,None,Animal Errante
56605,2017-07-13 15:46:31,Tutor Falecido,0,C1707729,Abrigo,2017-07-13 00:00:00,Lar Temporario,0.0,2018-02-18 00:00:00,Animal Errante
